Guidance_ID,Guidance_Description,Control_ID,Control_Description
FUNC-0000001137,Federation should be enabled only where there is established trust between Company and the correlating Third Party.,CTRL-0000001415,"All users & devices shall be subject to the Company mandatory registration and authentication requirements, for access to all Company System Assets, using architectural components approved by the appointed CS architectural authorities."
FUNC-0000001284,"Findings should be checked against the OWASP Top 10 list, Common Weakness Enumerations (CWE) awareness, secure coding, 3rd-party or open-source component aging, etc.",CTRL-0000001033,Cyber security testing shall be undertaken before new or changed IT systems/applications are migrated to Production environments.
FUNC-0000001462,"Firewall configurations, router configurations and associated documentation should be considered as confidential and should be available only to authorised personnel (administrators, auditors, information security management personnel etc.)",CTRL-0000001186,"IT network device security shall be ensured through implementation of hardening specifications approved by the appointed CS architectural authorities, in combination with secure technical configuration & documented management processes, including firewall configuration and rule-set management."
FUNC-0000001465,"Firewall rule-sets should be reviewed on a six-monthly basis, at least.",CTRL-0000001186,"IT network device security shall be ensured through implementation of hardening specifications approved by the appointed CS architectural authorities, in combination with secure technical configuration & documented management processes, including firewall configuration and rule-set management."
FUNC-0000001116,Firewalls and routers should be configured to convert the source IP address and TCP port number on packets to externally routable values.,CTRL-0000001418,"Secure network routing controls shall be established at the boundaries between the Company IT network and external networks, based on source and destination address checking mechanisms."
FUNC-0000001127,Firewalls should be configured to restrict access from the IaaS/PaaS CSP's network to Company’ on-premise network to specifically-approved connections (via Third Party Access Management).,CTRL-0000001171,"Supplier agreements shall be established and documented with suppliers of all IT/OT solutions and/or services for the Company business use, via the Company standard procurement practices. These agreements shall include the relevant Company’s cyber security and legal & regulatory requirements."
FUNC-0000001809,"For components that utilize password-based authentication, those components should provide or integrate into a system that provides the capability to enforce configurable password
strength according to internationally recognized and proven password guidelines.",CTRL-0000001081,"SR 1.7 - For control systems utilizing password-based authentication, the control system shall provide the capability to enforce configurable password strength based on minimum length and variety of character types."
FUNC-0000001812,"For components that utilize public-key-based authentication, those components should provide
directly or integrate into a system that provides the capability within the same IACS environment to:
a) validate certificates by checking the validity of the signature of a given certificate;
b) validate the certificate chain or, in the case of self-signed certificates, by deploying leaf certificates to all hosts that communicate with the subject to which the certificate is issued;
c) validate certificates by checking a given certificate’s revocation status;
d) establish user (human, software process or device) control of the corresponding private key;
e) map the authenticated identity to a user (human, software process or device); and
f) ensure that the algorithms and keys used for the public key authentication conform to CR 4.3.",CTRL-0000001107,"SR 1.9 - For control systems utilizing public key authentication, the control system shall provide the capability to:
a) validate certificates by checking the validity of the signature of a given certificate;
b) validate certificates by constructing a certification path to an accepted CA or in the case of self-signed certificates by deploying leaf certificates to all hosts which communicate with the subject to which the certificate is issued;
c) validate certificates by checking a given certificate’s revocation status;
d) establish user (human, software process or device) control of the corresponding private key; and
e) map the authenticated identity to a user (human, software process or device)."
FUNC-0000001817,"For components that utilize symmetric keys, the component should provide the capability to:
a) establish the mutual trust using the symmetric key;
b) store securely the shared secret (the authentication is valid as long as the shared secret remains secret);
c) restrict access to the shared secret; and
d) ensure that the algorithms and keys used for the symmetric key authentication conform to CR 4.3.",CTRL-0000001084,SR 1.13 - The control system shall provide the capability to monitor and control all methods of access to the control system via untrusted networks.
FUNC-0000001622,"For each IoT system, define end-of-life procedures for the hardware used within that system. For any hardware that stores sensitive information, dispose of that hardware securely and maintain an audit log of the disposal process including any individual that participates in that process.  Secure disposal process can include as applicable: data sanitization, degaussing, and so on.",CTRL-0000001405,"All identified Physical Assets to be disposed of (e.g. end-of-life End-points, Mobile Devices, storage media etc.) that may contain the Company's data, shall be sanitised and securely disposed by authorised personnel."
FUNC-0000001431,"For IaaS services, where Company is responsible for vulnerability management, security vulnerability assessment tools should ensure to accommodate the virtualisation technologies used (e.g. virtualisation aware).",CTRL-0000001300,"For outsource/Cloud infrastructure services, where the Company is responsible for vulnerability management, then the Company standard tools and techniques shall be used, where possible."
FUNC-0000001557,"For IoT devices that operate with a real-time operating system (RTOS), ensure that the RTOS provides a minimum set of security features including application sandboxing, secure boot, access controls, trusted execution environment, kernel separation, and a (minimized) microkernel.",CTRL-0000001185,"Hardening specifications for all types of the Company-managed End-points shall be defined and approved by the appointed CS architectural authorities, to ensure that they can be Secure-by-Design."
FUNC-0000001583,"For mobile IoT devices, implement geofencing restrictions to monitor or control location of device to collect location data for use in authorization decisions.",CTRL-0000001375,"Protection against physical and environmental threats, such as natural or man-made disasters, as well as accidental or deliberate physical threats to Company premises shall be addressed."
FUNC-0000001434,"For outsource/IaaS cloud solutions, automatic patching of vulnerabilities should be considered (rather than manual patch deployment).",CTRL-0000001300,"For outsource/Cloud infrastructure services, where the Company is responsible for vulnerability management, then the Company standard tools and techniques shall be used, where possible."
FUNC-0000001221,"For outsource/IaaS cloud solutions, secure hardened images should a basis for building systems.",CTRL-0000001031,End-points shall be hardened in accordance with the defined specifications.
FUNC-0000001078,"For PCS equipment cabinets that are not located in secured rooms, the cabinets should be physically locked with the keys managed by the PCS Engineer.",CTRL-0000001297,"Secure Areas (e.g. computer rooms, secured cabinets etc.) shall be created within the Company’s premises for placing/storing System Assets that require extra physical protection/isolation. Sufficient physical barriers shall be in place to restrict entry to authorized persons only."
FUNC-0000001059,"For privileged IT access to be granted to a user the necessary approvals should be required, according to the business standard. The issuing of access to a privileged account by an individual without the completion of the user access authorization process should be considered a security breach.",CTRL-0000001013,"Use of privileged IT/OT accounts shall be strictly controlled, to avoid the risks of system misuse or compromize."
FUNC-0000001808,"For software process and device users, the control system shall provide the capability to protect the relevant authenticators via hardware mechanisms.",CTRL-0000001078,"SR 1.5 RE 1 - For software process and device users, the control system shall provide the capability to protect the relevant authenticators via hardware mechanisms."
FUNC-0000001484,"For solutions involving data masking, this should be used in accordance with the organization’s topic-specific policy on access control and other related topic-specific policies, and business requirements, taking applicable legislation into consideration.",CTRL-0000001383,"Access rights and privileges shall be provided in accordance with the principle of Least Privilege, and shall be in line with defined access policies for System Assets."
FUNC-0000001362,"For suppliers of Physical Assets, contracts should cover the provision of support, recommendations and guidelines for adequate maintenance.",CTRL-0000001362,"IT and OT Physical Assets shall be effectively maintained, commensurate with risk-assessment and defined controls."
FUNC-0000001430,"Forensic steps should be performed in line with Chain of Custody requirements, in order to ensure correct preservation & support admissibility of evidence in case of legal action.",CTRL-0000001307,"Response to a cyber security incident should involve Forensic Analysis, and evidence gathering, where necessary."
FUNC-0000001379,"Formal data-transfer policies, procedures and controls should be in place to protect the transfer of information using all types of communication facilities.",CTRL-0000001502,"The Company information/data classified as Confidential, or handled by System Assets rated as having MAJOR business impact in terms of Confidentiality and/or SEVERE business impact in terms of Integrity, should be protected by Strong Encryption whilst in transit."
FUNC-0000001356,Formal disciplinary processes should be defined and communicated for breaches of cyber security.,CTRL-0000001369,Management shall require all Employees and Contractors to apply cyber security in accordance with the established standards and procedures of the Company.
FUNC-0000001159,Full disk encryption agents should receive updates automatically.,CTRL-0000001601,"Where cryptography is used to protect stored account data, key management processes and procedures covering all aspects of the key lifecycle shall be defined and implemented."
FUNC-0000001256,Functional and detailed design specifications should cater for Company cyber security requirements and approval by the appropriate architectural & cyber security authorities.,CTRL-0000001387,"Cyber security shall be addressed as part of project delivery frameworks/models, to ensure that engagement with the Cyber Security Function occurs at appropriate times in projects, and that necessary controls are identified and implemented. The framework/model shall include the development & acquisition of hardware, software, on-premise & cloud-based services."
FUNC-0000001186,"Future capacity requirements should be anticipated by taking into consideration new businesses, system requirements and translated into business cases for consideration.",CTRL-0000001028,System & network capacity requirements shall be identified as part IT service development.  Additional capacity shall be factored in for System Assets rated as having SEVERE or MAJOR business impact in terms of Availability.
FUNC-0000001034,"Generic, group or shared ID’s, which cannot be linked back to individuals should not be permitted.",CTRL-0000001009,"Generic and Default accounts (e.g. as provided with “out-of-the-box” installations) shall be subject to password change, and strong password rules, in order to avoid risks of compromise."
FUNC-0000001921,Goals should be established and agreed with employees and contractors to help achieve a culture of cyber security and cyber resilience across the organization,CTRL-0000001369,Management shall require all Employees and Contractors to apply cyber security in accordance with the established standards and procedures of the Company.
FUNC-0000001281,"Group Digital should implement, monitor & manage IT software licencing compliance, such that:
1. No software should be deployed for which the business has not obtained a valid licence (e.g. via procurement or via an entitlement from a Group contract);
2. For software under the responsibility of Group Digital, the licence and entitlement details that are relevant for reconciliation with deployment should be recorded;
3. For recorded entitlements, deployment should be measured, reconciled with entitlement and any gaps addressed. Any deployment changes should be reflected in the deployment records.",CTRL-0000001383,"Access to and/or use of proprietary applications, programs, or any other forms of intellectual property (IP), shall be appropriately restricted according to licencing terms & conditions."
FUNC-0000001344,"Hard-copy materials with cardholder data are destroyed when no longer needed for business or legal reasons, as follows:
• Materials are cross-cut shredded, incinerated, or pulped so that cardholder data cannot be reconstructed. 
• Materials are stored in secure storage containers prior to destruction.",CTRL-0000001517,"Data shall be securely disposed of, in accordance with any defined retention policy & disposal procedures, where applicable."
FUNC-0000001243,Hardening configuration parameters for database technologies and common middleware platforms should be tested in a test environment before deployment in a production environment.,CTRL-0000001188,"Hardening specifications for database technologies & common middleware platforms shall be defined, approved by the appointed CS architectural authorities, and implemented, to ensure that they can be properly secured."
FUNC-0000001207,Hardening configuration parameters for End-points should be tested in a Test environment before deployment in a Production environment.,CTRL-0000001185,"Hardening specifications for all types of the Company-managed End-points shall be defined and approved by the appointed CS architectural authorities, to ensure that they can be Secure-by-Design."
FUNC-0000001471,"Hardening specifications for all types of Network Devices should be selected or developed, based on industry best practices (e.g. CIS Benchmarks, Company security specifications), to ensure that devices can be properly secured. The specifications should be reviewed and updated on at least a six-monthly basis to ensure they are still effective,",CTRL-0000001186,"IT network device security shall be ensured through implementation of hardening specifications approved by the appointed CS architectural authorities, in combination with secure technical configuration & documented management processes, including firewall configuration and rule-set management."
FUNC-0000001923,"Hardening specifications for all types of the Company-managed End-points should be defined and approved by the appointed CS architectural authorities, to ensure that they can be Secure-by-Design.",CTRL-0000001599,"IT security hardening specifications shall be established, documented, approved by appointed CS architectural authorities. implemented, monitored and reviewed."
FUNC-0000001924,"Hardening specifications for database technologies & common middleware platforms should be defined, approved by the appointed CS architectural authorities, and implemented, to ensure that they can be properly secured.",CTRL-0000001599,"IT security hardening specifications shall be established, documented, approved by appointed CS architectural authorities. implemented, monitored and reviewed."
FUNC-0000001222,"HIPS should be able to perform security monitoring such as code and network traffic analysis, network traffic filtering, and system’s files monitoring.",CTRL-0000001505,Host-based Firewalls and Host-based Intrusion Prevention Systems (HIPS) should be implemented to avoid data breaches.
FUNC-0000001224,HIPS should be configured to implement the most restrictive policy allowed and then permit only what is needed.,CTRL-0000001505,Host-based Firewalls and Host-based Intrusion Prevention Systems (HIPS) should be implemented to avoid data breaches.
FUNC-0000001226,"HIPS should be integrated with the SIEM solution and configured to send notifications, if any events occur.",CTRL-0000001505,Host-based Firewalls and Host-based Intrusion Prevention Systems (HIPS) should be implemented to avoid data breaches.
FUNC-0000001905,"Host devices should
a) provide the capability to provision and protect the confidentiality, integrity, and authenticity of asset owner keys and data to be used as “roots of trust”; and
b) support the capability to provision without reliance on components that may be outside of the device’s security zone.",CTRL-0000001116,"SR 3.4 - The control system shall provide the capability to detect, record, report and protect against unauthorized changes to software and information at rest."
FUNC-0000001903,"Host devices should be capable of automatically providing notification to a configurable set of recipients upon discovery of an attempt to make an unauthorized physical access. All
notifications of tampering should be logged as part of the overall audit logging function.",CTRL-0000001102,SR 3.1 - The control system shall provide the capability to protect the integrity of transmitted information.
FUNC-0000001881,Host devices should protect against unauthorized use of the physical factory diagnostic and test interface(s) (e.g. JTAG debugging).,CTRL-0000001139,SR 2.12 - The control system shall provide the capability to determine whether a given human user took a particular action.
FUNC-0000001885,Host devices should provide active monitoring of the device’s diagnostic and test interface(s) and generate an audit log entry when attempts to access these interface(s) are detected.,CTRL-0000001139,SR 2.12 - The control system shall provide the capability to determine whether a given human user took a particular action.
FUNC-0000001904,"Host devices should provide the capability to provision and protect the confidentiality, integrity, and authenticity of product supplier keys and data to be used as one or more “roots of trust” at the time of manufacture of the device.",CTRL-0000001116,"SR 3.4 - The control system shall provide the capability to detect, record, report and protect against unauthorized changes to software and information at rest."
FUNC-0000001901,Host devices should provide the capability to support tamper resistance and detection mechanisms to protect against unauthorized physical access into the device.,CTRL-0000001116,"SR 3.4 - The control system shall provide the capability to detect, record, report and protect against unauthorized changes to software and information at rest."
FUNC-0000001900,Host devices should support the ability to be updated and upgraded.,CTRL-0000001116,"SR 3.4 - The control system shall provide the capability to detect, record, report and protect against unauthorized changes to software and information at rest."
FUNC-0000001907,"Host devices should use the component’s product supplier roots of trust to verify the authenticity of the firmware, software, and configuration data needed for the component’s boot process prior to it being used in the boot process.",CTRL-0000001116,"SR 3.4 - The control system shall provide the capability to detect, record, report and protect against unauthorized changes to software and information at rest."
FUNC-0000001902,Host devices should validate the authenticity and integrity of any software update or upgrade prior to installation.,CTRL-0000001116,"SR 3.4 - The control system shall provide the capability to detect, record, report and protect against unauthorized changes to software and information at rest."
FUNC-0000001906,"Host devices should verify the integrity of the firmware, software, and configuration data needed for the component’s boot process prior to it being used in the boot process.",CTRL-0000001116,"SR 3.4 - The control system shall provide the capability to detect, record, report and protect against unauthorized changes to software and information at rest."
FUNC-0000001223,Host firewalls and HIPS should be enabled and active at all times for all IT End-points.,CTRL-0000001505,Host-based Firewalls and Host-based Intrusion Prevention Systems (HIPS) should be implemented to avoid data breaches.
FUNC-0000001220,"Host firewalls and HIPS solution should be installed on all IT End-point devices, wherever technically feasible.",CTRL-0000001505,Host-based Firewalls and Host-based Intrusion Prevention Systems (HIPS) should be implemented to avoid data breaches.
FUNC-0000001342,"HVAC and fire control systems should be installed in Data Centres, and should be equipped with the following, at minimum:
a. Devices to record and monitor humidity.
b. Fire detection (e.g. smoke alarms, heat sensors).
c. Fire suppression system, fire extinguishers and fighting Physical Assets. 
d. Lightning protection Physical Assets.",CTRL-0000001375,"Protection against physical and environmental threats, such as natural or man-made disasters, as well as accidental or deliberate physical threats to Company premises shall be addressed."
FUNC-0000001646,Identify common attributes/characteristics of your device inventory and establish VLANs that segment devices by those common attributes.,CTRL-0000001425,"A network segmentation architecture shall be established, documented and implemented for the Company IT/OT networks."
FUNC-0000001637,Identify qualified third-party firms to perform IoT penetration testing field work. Request relevant IoT penetration test reports to review as part of vendor intake. Ensure industry methodologies and tools can be shared to reproduce identified vulnerabilities. Consider including hardware and firmware as part of scope for advanced security testing fieldwork to provide a complete landscape of risk.,CTRL-0000001054,"Technical vulnerability scans, assessments (including patching assessments), and penetration testing shall be performed for IT systems and networks, taking into account IT and service requirements and constraints. Any types of technical vulnerability scans, or assessments for OT systems shall be passive, and based on risk assessment. No penetration test to be done for OT systems."
FUNC-0000001608,Identify threat intelligence feeds applicable to your specific industry and maintain an understanding of the types of attackers that typically target your systems and their motivations.,CTRL-0000001460,"The Company shall subscribe to threat intelligence sources and information-sharing forums, in order to obtain up-to-date information regarding the threat landscape."
FUNC-0000001835,"If a component provides a human user interface, the component should provide the capability to determine whether a given human user took a particular action.
Control elements that are not able to support such capability should be listed in component documents.",CTRL-0000001139,SR 2.12 - The control system shall provide the capability to determine whether a given human user took a particular action.
FUNC-0000001824,"If a component provides a human user interface, whether accessed locally or via a network, the component should provide the capability
a) to protect against further access by initiating a session lock after a configurable time period of inactivity or by manual initiation by the user (human, software process or device); and
b) for the session lock to remain in effect until the human user who owns the session, or another authorized human user, re-establishes access using appropriate identification and authentication procedures.",CTRL-0000001142,SR 2.5 - The control system shall provide the capability to prevent further access by initiating a session lock after a configurable time period of inactivity or by manual initiation. The session lock shall remain in effect until the human user who owns the session or another authorized human user re-establishes access using appropriate identification and authentication procedures.
FUNC-0000001826,"If a component supports remote sessions, the component should provide the capability to terminate a remote session either automatically after a configurable time period of inactivity, manually by a local authority, or manually by the user (human, software process or device) who initiated the session.",CTRL-0000001090,SR 2.6 - The control system shall provide the capability to terminate a remote session either automatically after a configurable time period of inactivity or manually by the user who initiated the session.
FUNC-0000001825,"If a component supports usage through wireless interfaces it should provide the capability to integrate into the system that supports usage authorization, monitoring and restrictions according to commonly accepted industry practices.",CTRL-0000001141,"SR 2.2 - The control system shall provide the capability to authorize, monitor and enforce usage restrictions for wireless connectivity to the control system according to commonly accepted security industry practices."
FUNC-0000001855,"If cryptography is required, the component should use cryptographic security mechanisms according to internationally recognized and proven security practices and recommendations.",CTRL-0000001153,"SR 4.3 - If cryptography is required, the control system shall use cryptographic algorithms, key sizes and mechanisms for key establishment and management according to commonly accepted security industry practices and recommendations."
FUNC-0000001169,"If manual clear-text cryptographic key-management operations are used for IaaS/PaaS CSP solutions, these operations should be managed using split knowledge and dual control.",CTRL-0000001601,"Where cryptography is used to protect stored account data, key management processes and procedures covering all aspects of the key lifecycle shall be defined and implemented."
FUNC-0000001555,"If passwords are used for remote access to IoT devices, update said passwords at least once per year. When possible, implement mechanisms that allow for the update of said passwords automatically. Given the amount of IoT devices that populate networks, it is preferable to use certificates for remote access as passwords become difficult to manage as quantities of devices increase.",CTRL-0000001181,"All accounts used to access System Assets shall be securely configured, with strong passwords implemented as defined by the appointed CS architectural authorities for each technology domain."
FUNC-0000001582,"If PIN codes are used, require PINs that are random and do not allow all zeros or all single characters.",CTRL-0000001186,"IT network device security shall be ensured through implementation of hardening specifications approved by the appointed CS architectural authorities, in combination with secure technical configuration & documented management processes, including firewall configuration and rule-set management."
FUNC-0000001843,"If the component is performing the integrity check, it should be capable of automatically providing notification to a configurable entity upon discovery of an attempt to make an unauthorized change.",CTRL-0000001123,SR 3.4 RE 1 - The control system shall provide the capability to use automated tools that provide notification to a configurable set of recipients upon discovering discrepancies during integrity verification.
FUNC-0000001670,"Implement a configuration management program to track the versions of firmware, software and hardware for each IoT device in inventory. Document the date of last firmware update or software patch. Flag devices that are not up to date with the latest firmware versions or are not patched.",CTRL-0000001393,Configuration management processes and procedures (for ensuring consistency and performance of IT & OT System Assets) shall also incorporate the security requirements laid out in the Cyber Security Control Standards.
FUNC-0000001621,"Implement a risk management approach that considers: Establishing context, performing risk assessments (risk identification, analysis, evaluation) determining risk treatment, and establishing monitoring and feedback procedures, and processes as well as baseline requirements.",CTRL-0000001448,"The Cyber Risk Management Guidelines & Procedures shall describe the scope, approach/method for business impact, threat, vulnerability, and likelihood assessment, evaluation."
FUNC-0000001515,"Implement a secure firmware/patch distribution process. Evaluate the security, integrity and authenticity of firmware prior to authorizing for distribution. Use secure over the air (OTA) update mechanisms when possible.",CTRL-0000001196,"Remediation of technical vulnerabilities in system assets shall be conducted in a timely way.
For IT System Asset, refer to “Cyber Security Control Procedures for Practitioners – IT Technical Vulnerability Management” for the remediation timeline.
For OT System Assets, critical or high vulnerabilities discovered in OT System Assets where CS BIA is rated as Severe or Major shall be remediated within 3 weeks. Other non-critical or High vulnerabilities shall be remediated within one month.
Remediation to OT System Assets shall follow the approved OT cyber security control procedures for patch management and vulnerability management.
*Note: Any OT System Assets that have not been rated in CS BIA it should follow the existing Equipment Criticality Assessment (ECA)."
FUNC-0000001507,"Implement an audit user group that is responsible for managing (e.g., reviewing or rotating off device) audit log data. Restrict read access to security logs to this group membership. Provision audit group members with read access but do not provide write privileges to any audit logs.",CTRL-0000001051,Cyber security requirements for event logging shall be identified for IT and OT System Assets.
FUNC-0000001527,Implement and enforce technical and policy mechanisms to restrict administrator ability to track location or other sensitive attributes of system users. Implement access controls and logging procedures to prevent insiders from disabling these controls without proper logging of the event.,CTRL-0000001000,Personal Data and Sensitive Personal Data shall be managed & controlled in compliance with applicable data privacy laws.
FUNC-0000001537,Implement Attribute-Based Access Control (ABAC) to enable policy-driven dynamic authorizations within the IoT system and support secure sharing of information across the organization and partner organizations.,CTRL-0000001016,"Access policies shall be defined for Company networks, System Assets and services."
FUNC-0000001676,Implement authenticated discovery services.  Authenticate all service discovery queries and drop requests that fail authentication.,CTRL-0000001357,"The Company-managed IT networks shall be periodically scanned for non-registered, and/or non-compliant devices, and/or servers that have been inactive for 30 days."
FUNC-0000001517,Implement data security controls based on the classification of each data type.,CTRL-0000001422,"The Company information/data shall be secured in line with its classification, with access provided to users on a Least Privilege basis."
FUNC-0000001584,"Implement environmental controls that validate the safe operation of an autonomous system and change state when safe operation is no longer assured (e.g., collaborative robotics use case).",CTRL-0000001375,"Protection against physical and environmental threats, such as natural or man-made disasters, as well as accidental or deliberate physical threats to Company premises shall be addressed."
FUNC-0000001623,"Implement intrusion detection/prevention capabilities within the system. Use both signature-based and behavior-based mechanisms. Behavior-based mechanisms should identify a ""ground-truth"" (truth via observation or measurement) for the system. and can identify anomalies such as unexpected communications and generally unexpected behaviors.",CTRL-0000001361,"Intrusion Detection Systems (IDS) and/or Intrusion Prevention Systems (IPS) shall be implemented at appropriate points in the network according to risk assessment, and shall be continuously updated with the latest attack signature information and scan engines.  Only passive types of IDS or IPS shall be used in OT environments."
FUNC-0000001600,Implement monitoring rules that detect multiple IoT devices authentication with the same identity credentials. This may either indicate a compromise of an IoT device credential or non-adherence to security best practices associated with provisioning unique credential to each IoT device. Investigate and remediate issues upon detection.,CTRL-0000001452,"Automated mechanisms (e.g. End-point Tools, Network Monitoring and Forensics Tools, Incident Workflow Management Tools) shall be employed to effectively execute threat hunting, prompt security alerts and provide advisory information."
FUNC-0000001178,"In order for the key management system to track and report all cryptographic materials and changes in status should be defined, implemented and evaluated processes, procedures and technical measures, which include provisions for legal and regulatory requirements.",CTRL-0000001601,"Where cryptography is used to protect stored account data, key management processes and procedures covering all aspects of the key lifecycle shall be defined and implemented."
FUNC-0000001095,"In the case of a role or access requirements changing, an access modification request should be raised.",CTRL-0000001022,"Changes in user access, through modifications of roles or permissions, shall be properly controlled."
FUNC-0000001875,"In the event that a host device utilizes mobile code technologies, that host device should provide the capability to enforce a security policy for the usage of mobile code technologies. The security policy should allow, at a minimum, the following actions for each mobile code technology used on the host device:
a) control execution of mobile code;
b) control which users (human, software process, or device) are allowed to upload mobile code to the host device; and",CTRL-0000001163,"SR 2.4 - The control system shall provide the capability to enforce usage restrictions for mobile code technologies based on the potential to cause damage to the control system that include:
a) preventing the execution of mobile code;
b) requiring proper authentication and authorization for origin of the code;
c) restricting mobile code transfer to/from the control system; and
d) monitoring the use of mobile code."
FUNC-0000001876,"In the event that a network device utilizes mobile code technologies, the network device should provide the capability to enforce a security policy for the usage of mobile code technologies. The security policy should allow, at a minimum, the following actions for each mobile code technology used on the network device:
a) control execution of mobile code;
b) control which users (human, software process, or device) are allowed to transfer mobile code to/from the network device; and
c) control the code execution based upon integrity checks on mobile code and prior to the code being executed",CTRL-0000001163,"SR 2.4 - The control system shall provide the capability to enforce usage restrictions for mobile code technologies based on the potential to cause damage to the control system that include:
a) preventing the execution of mobile code;
b) requiring proper authentication and authorization for origin of the code;
c) restricting mobile code transfer to/from the control system; and
d) monitoring the use of mobile code."
FUNC-0000001873,"In the event that a software application utilizes mobile code technologies, that application should provide the capability to enforce a security policy for the usage of mobile code
technologies. The security policy should allow, at a minimum, the following actions for each mobile code technology used on the software application:
a) Control execution of mobile code;
b) Control which users (human, software process, or device) are allowed to transfer mobile code to/from the application;
c) Control the execution of mobile code based on the results of an integrity check prior to the code being executed.",CTRL-0000001163,"SR 2.4 - The control system shall provide the capability to enforce usage restrictions for mobile code technologies based on the potential to cause damage to the control system that include:
a) preventing the execution of mobile code;
b) requiring proper authentication and authorization for origin of the code;
c) restricting mobile code transfer to/from the control system; and
d) monitoring the use of mobile code."
FUNC-0000001874,"In the event that an embedded device utilizes mobile code technologies, the embedded device should provide the capability to enforce a security policy for the usage of mobile code technologies. The security policy should allow, at a minimum, the following actions for each mobile code technology used on the embedded device:
a) Control execution of mobile code;
b) Control which users (human, software process, or device) are allowed to upload mobile code to the device;
c) Control the execution of mobile code based on the results of an integrity check prior to the code being executed.",CTRL-0000001163,"SR 2.4 - The control system shall provide the capability to enforce usage restrictions for mobile code technologies based on the potential to cause damage to the control system that include:
a) preventing the execution of mobile code;
b) requiring proper authentication and authorization for origin of the code;
c) restricting mobile code transfer to/from the control system; and
d) monitoring the use of mobile code."
FUNC-0000001219,"In the IT domain, host-based firewalls should be enabled on all Windows systems at all times to filter transmission of data to and from Windows systems.",CTRL-0000001031,End-points shall be hardened in accordance with the defined specifications.
FUNC-0000001423,Incident detection & response testing should include running through all steps to determine the incident response effectiveness.,CTRL-0000001317,"Incident detection & response testing should take place at least annually, to establish the effectiveness of responses to typical incident types."
FUNC-0000001428,Incident Severity-level/priority should not be downgraded or upgraded unless authorised by the incident response team.,CTRL-0000001339,Cyber security incidents shall be responded to in accordance with Company Incident Response Plan (IRP).
FUNC-0000001021,"Incidents or near misses involving any System Assets rated as having SEVERE business impact in terms of Confidentiality, Integrity, and/or Availability, and managed by outsource/CSP's, should be integrated and recorded via Company’ incident management process, in addition to any service provider process.",CTRL-0000001174,"There shall be integration between outsource/Cloud Service Providers (CSP's) and the Company's cyber security incident management process, in order to ensure effective management of cyber security incidents related to System Assets rated as having SEVERE business impact in terms of Confidentiality, Integrity, and/or Availability."
FUNC-0000001567,"Include in the incident response process steps to ensure a chain of custody. Require forms that record the analyst date, time and signature for each item. Store all collected items in a secured area. Use write-blockers to ensure that data on media cannot be modified.",CTRL-0000001339,Cyber security incidents shall be responded to in accordance with Company Incident Response Plan (IRP).
FUNC-0000001085,Incoming and outgoing material should be physically segregated.,CTRL-0000001426,"Delivery and loading areas shall have restricted access, and shall be segregated from other areas of the premises."
FUNC-0000001083,Incoming material should be inspected for tampering and if tampering observed it should be reported to required parties immediately.,CTRL-0000001426,"Delivery and loading areas shall have restricted access, and shall be segregated from other areas of the premises."
FUNC-0000001341,"Information processing systems should be protected in Data Centres and other information processing locations, to minimise the risk of information loss due to electromagnetic emanation.",CTRL-0000001375,"Protection against physical and environmental threats, such as natural or man-made disasters, as well as accidental or deliberate physical threats to Company premises shall be addressed."
FUNC-0000001112,"Information systems should detect and block unauthorised scanning activity that originates outside of its network, within its network, and between information systems.",CTRL-0000001422,The Company IT network boundaries & perimeters shall be securely managed in order to effectively protect trusted networks from untrusted networks.
FUNC-0000001146,"Initial passwords, and reset passwords should be changed at first logon.",CTRL-0000001181,"All accounts used to access System Assets shall be securely configured, with strong passwords implemented as defined by the appointed CS architectural authorities for each technology domain."
FUNC-0000001652,Install Near Field Communication (NFC) devices in locations that do not lend themselves to installation of sniffers in close proximity.  Establish physical security protection measures (e.g. cameras/guards) to monitor access to these devices.,CTRL-0000001297,"Secure Areas (e.g. computer rooms, secured cabinets etc.) shall be created within the Company’s premises for placing/storing System Assets that require extra physical protection/isolation. Sufficient physical barriers shall be in place to restrict entry to authorized persons only."
FUNC-0000001231,Installation of unauthorised applications should be restricted on Mobile Devices.,CTRL-0000001390,"The Company information accessed from, and stored in Mobile Devices shall be protected through a combination of device registration & authentication, access control, device-hardening in line with the Company End-point platform cyber security technical baselines, user awareness, and physical security controls."
FUNC-0000001505,Integrate chip-to-cloud capabilities that leverage MCUs with pre-provisioned cloud trust anchors to support more secure bootstrap and zero-touch provisioning of IoT devices. Use secure MCU hardware features to protect key material and cryptographic primitives and to perform trusted bootloading by validating software prior to booting.,CTRL-0000001415,"All users & devices shall be subject to the Company mandatory registration and authentication requirements, for access to all Company System Assets, using architectural components approved by the appointed CS architectural authorities."
FUNC-0000001035,"Interactive logon should be disabled for IT service accounts, wherever possible.",CTRL-0000001010,"Use of IT service accounts shall be strictly controlled, in order to avoid risks of compromise."
FUNC-0000001106,Internal IP addresses should not be exposed to the internet.,CTRL-0000001422,The Company IT network boundaries & perimeters shall be securely managed in order to effectively protect trusted networks from untrusted networks.
FUNC-0000001383,Internal systems that needs to send mail should be configured to use authorised company email server.,CTRL-0000001358,"The Company email services shall be designed & implemented securely, in order to protect against SPAM and preserve message authenticity."
